POS,Starter,Backup,Depth,Reserve,,,
WR-X,Duce Robinson,Gavin Blackwell,Elijah Moore,,,,
WR-SL,Squirrel White,Hakeem Williams,Micahi Danzy,,,,
LT,Gunnar Hansen,Lucas Simmons,,,,,
LG,Richie Leonard IV,Andre Otto,,,,,
C,Luke Petitbon,Chavez Thompson,,,,,
RG,Adrian Medley,Jacob Rizy,,,,,
RT,Micah Pettus,Jonathan Daniels,,,,,
TE,Randy Pittman Jr.,Landen Thomas,Amare Williams,,,,
WR-Z,Jayvan Boggs,Chase Loftin,LeWayne McCoy,,,,
RB,Roydell Williams,Gavin Sawchuk,Jaylin Lucas,Ousmane Kromah,Singleton,,
QB,Tommy Castellanos,Brock Glenn,Kevin Sperry,Jaylen King,,,
RDE,Jayson Jenkins,Deante McCray,Mandrell Desir,,,,
NT,Darrell Jackson Jr.,Daniel Lyons,Kevin Wynn,,,,
LDE,James Williams,Jaden Jones,,,,,
JACK,Omar Graham Jr. ,Stefon Thompson,,,,,
WLB,Elijah Herring,AJ Cottrill,,,,,
RCB,Shamar Arnoux,,,,,,
NB,Earl Little Jr.,Donny Hiebert,,,,,
SS,Edwin Joseph,K.J. Kirkland,,,,,
FS,Ashlynd Barker,Shyheim Brown,,,,,
LCB,Ja’Bril Rawls,Quindarrius Jones,Charles Lester III,,,,
MLB,Justin Cryer,Blake Nichelson,,,,,
CB,Jeremiah Wilson ,,,,,,